,id,brand,category,rating,number_of_reviews,love,price,value_price,MarketingFlags,details,how_to_use,ingredients,online_only,exclusive
6657,2228492,208,140,7.0,34,21900,10.0,28.0,1,2660,15,0,1,1
6658,2220663,208,140,7.0,29,14800,25.0,79.0,1,1025,15,0,1,1
6659,2333086,215,123,8.0,19,4400,38.0,38.0,0,881,125,1,0,0
6660,2333110,215,76,8.0,10,2400,38.0,38.0,0,944,249,1,0,0
6661,2162212,215,127,7.0,426,9000,28.0,28.0,0,1820,392,1,0,0
6662,2162204,215,33,8.0,314,7900,28.0,28.0,0,1809,253,1,0,0
6663,2162196,215,77,8.0,542,10800,38.0,38.0,0,1554,237,1,0,0
6664,2076636,215,85,7.0,37,6000,24.0,24.0,0,1280,234,1,0,0
6665,2202158,215,82,7.0,42,3800,24.0,24.0,0,1010,287,1,0,0
6666,2201721,215,85,7.0,15,1700,24.0,24.0,1,1175,135,1,1,0
6667,1734045,209,3,8.0,50,16200,199.0,199.0,1,901,1884,0,1,0
6668,1734003,209,3,8.0,26,8600,159.0,159.0,1,835,1884,0,1,0
6669,2257244,209,64,5.0,17,2700,179.0,179.0,1,604,374,0,1,0
6670,2167385,209,140,8.0,3,3900,219.0,298.0,1,1652,480,0,1,1
6671,1766054,209,3,8.0,36,5900,159.0,179.0,1,828,1883,0,1,0
6672,2111573,209,64,6.0,38,4300,99.0,99.0,1,615,376,0,1,0
6673,2311421,209,94,6.0,58,8500,99.0,99.0,0,1211,488,1,0,0
6674,2257236,209,64,7.0,12,651,149.0,149.0,1,607,375,0,1,0
6675,1737907,209,3,5.0,7,3900,20.0,20.0,1,891,1008,0,1,0
6676,1361948,216,119,7.0,1000,45200,126.0,126.0,0,812,15,1,0,0
6677,1918911,216,28,5.0,55,3400,94.0,94.0,0,676,15,1,0,0
6678,1513316,216,28,5.0,152,5200,112.0,112.0,0,551,15,1,0,0
6679,2099729,216,28,5.0,34,1800,102.0,102.0,0,488,15,0,0,0
6680,1725563,216,28,5.0,101,3500,94.0,94.0,0,542,15,1,0,0
6681,1610252,216,122,8.0,192,16700,30.0,30.0,0,471,15,1,0,0
6682,2175305,216,119,7.0,20,1900,76.0,76.0,0,458,752,0,0,0
6683,1779958,216,119,8.0,101,8400,126.0,126.0,0,481,15,1,0,0
6684,2038271,216,119,6.0,87,5200,126.0,126.0,1,691,15,1,0,1
6685,957936,216,28,8.0,98,1800,74.0,74.0,0,802,15,1,0,0
6686,1958180,216,119,8.0,116,7400,102.0,102.0,0,480,15,1,0,0
6687,1610229,216,119,7.0,150,8300,102.0,102.0,0,392,15,1,0,0
6688,787010,216,119,8.0,214,6500,126.0,126.0,0,636,15,1,0,0
6689,2175271,216,120,7.0,5,3100,30.0,41.0,1,490,752,0,0,0
6690,2006112,216,14,8.0,8,3300,50.0,50.0,1,490,105,1,0,1
6691,2038297,216,122,8.0,15,2700,30.0,30.0,1,543,15,1,0,1
6692,1958172,216,122,8.0,27,3200,30.0,30.0,0,480,15,1,0,0
6693,2202406,216,120,5.0,1,591,78.0,100.0,1,794,752,0,0,1
6694,1334846,216,28,5.0,28,951,98.0,98.0,0,590,15,1,0,0
6695,2233856,216,122,0.0,0,493,30.0,30.0,0,462,752,0,0,0
6696,2201499,217,59,5.0,9,4100,25.0,25.0,1,1134,598,1,0,1
6697,1950310,217,70,6.0,32,8700,36.0,36.0,1,842,231,1,0,1
6698,1950468,217,89,8.0,56,10000,32.0,32.0,1,447,237,1,0,1
6699,1950146,217,103,7.0,29,11800,24.0,24.0,1,564,473,1,0,1
6700,2077667,217,20,8.0,21,6400,32.0,32.0,1,454,180,1,0,1
6701,1950021,217,103,7.0,37,18500,24.0,24.0,1,541,446,1,0,1
6702,1949809,217,47,7.0,51,9200,35.0,35.0,1,632,419,1,0,1
6703,1950427,217,12,8.0,88,20300,26.0,26.0,1,598,235,1,0,1
6704,2201846,217,111,7.0,2000,4700,23.0,23.0,1,688,761,1,0,1
6705,2221562,217,89,7.0,16,5400,32.0,32.0,1,765,261,1,0,1
6706,1950518,217,32,6.0,46,4100,25.0,25.0,1,506,394,1,0,1
6707,1949916,217,50,6.0,20,3200,24.0,24.0,1,603,345,1,0,1
6708,2077642,217,89,0.0,0,1500,30.0,30.0,1,933,516,1,0,1
6709,2221554,217,70,6.0,58,9800,39.0,39.0,1,1585,503,1,0,1
6710,2325165,218,56,8.0,327,978,88.0,88.0,1,2214,186,1,1,0
6711,2325215,218,116,8.0,316,582,96.0,96.0,1,2273,415,1,1,1
6712,2325207,218,58,5.0,1,585,42.0,42.0,1,1861,371,1,1,1
6713,2325173,218,13,0.0,0,319,55.0,55.0,1,1681,184,1,1,1
6714,2325181,218,13,4.0,3,335,38.0,38.0,1,1783,150,1,1,1
6715,2325199,218,8,8.0,10,645,16.0,16.0,1,1627,130,1,1,1
6716,2262384,219,114,8.0,196,10600,58.0,58.0,1,783,173,1,0,1
6717,2262459,219,116,8.0,562,9000,40.0,40.0,1,1475,97,1,0,1
6718,2262400,219,58,8.0,163,2700,74.0,74.0,1,940,166,1,0,1
6719,2262533,219,94,8.0,514,7600,20.0,20.0,1,763,111,1,0,1
6720,2262319,219,62,5.0,5,1900,32.0,32.0,1,777,272,1,0,1
6721,2262509,219,130,8.0,9,2000,6.0,6.0,1,1032,299,1,0,1
6722,2279958,219,140,8.0,6,2600,28.0,28.0,1,871,798,1,0,1
6723,2262368,219,65,8.0,21,2600,38.0,38.0,1,990,308,1,0,1
6724,2262483,219,55,5.0,10,1400,22.0,22.0,1,932,497,1,0,1
6725,2262418,219,58,8.0,2,1700,62.0,62.0,1,781,157,1,0,1
6726,2262434,219,116,7.0,25,2800,40.0,40.0,1,1235,97,1,0,1
6727,2262335,219,62,8.0,34,3400,30.0,30.0,1,881,195,1,0,1
6728,2340404,219,116,0.0,0,384,60.0,60.0,1,1289,98,1,0,1
6729,2262517,219,130,7.0,6,998,6.0,6.0,1,957,298,1,0,1
6730,2340420,219,138,5.0,1,375,35.0,35.0,1,1215,172,1,0,1
6731,2262327,219,110,6.0,10,820,26.0,26.0,1,983,317,1,0,1
6732,2262426,219,45,7.0,6,649,64.0,64.0,1,787,135,1,0,1
6733,2262467,219,55,7.0,4,2200,55.0,55.0,1,590,224,1,0,1
6734,2262442,219,116,8.0,6,1000,35.0,35.0,1,808,100,1,1,1
6735,2262343,219,62,7.0,8,1100,20.0,20.0,1,851,161,1,1,1
6736,2262491,219,130,7.0,3,894,6.0,6.0,1,1286,297,1,0,1
6737,2262541,219,94,7.0,14,2000,18.0,18.0,1,630,78,1,0,1
6738,2344653,219,112,7.0,1,0,15.0,15.0,1,1289,98,1,0,1
6739,2262350,219,62,6.0,5,686,25.0,25.0,1,785,195,1,0,1
6740,2340412,219,116,0.0,0,291,60.0,60.0,1,1208,99,1,0,1
6741,2262376,219,138,7.0,12,2300,35.0,35.0,1,1166,172,1,0,1
6742,2262525,219,130,6.0,3,686,6.0,6.0,1,847,297,1,0,1
6743,2344661,219,112,5.0,1,0,15.0,15.0,1,1208,99,1,0,1
6744,2262475,219,55,5.0,2,832,45.0,45.0,1,1103,202,1,1,1
6745,2262392,219,58,5.0,1,464,35.0,35.0,1,736,100,1,1,1
6746,2171049,220,140,6.0,44,2100,35.0,55.0,0,1432,1606,1,0,0
6747,2171080,220,140,7.0,348,3800,35.0,45.0,0,1312,1252,1,0,0
6748,2171056,220,140,8.0,69,1100,80.0,114.0,1,1432,1606,1,1,0
6749,2170892,220,10,8.0,92,5200,20.0,20.0,0,965,1054,1,0,0
6750,2170934,220,58,5.0,81,3300,50.0,50.0,0,1142,1585,1,0,0
6751,2171064,220,62,8.0,215,1200,30.0,30.0,1,599,234,1,1,0
6752,2170876,220,58,8.0,84,5700,35.0,35.0,0,1172,1541,1,0,0
6753,2170991,220,62,8.0,63,1000,25.0,25.0,1,918,419,1,1,0
6754,2171031,220,140,5.0,71,498,110.0,150.0,1,1508,955,1,1,0
6755,2170975,220,58,5.0,51,810,60.0,60.0,1,1064,664,1,1,0
6756,2170967,220,42,5.0,95,1100,48.0,48.0,0,1025,2020,1,0,0
6757,2170959,220,10,8.0,205,2100,36.0,36.0,0,794,749,1,0,0
6758,2170918,220,55,5.0,79,1800,38.0,38.0,1,1222,1526,1,1,0
6759,2170900,220,62,5.0,9,1100,35.0,35.0,1,771,1297,1,1,0
6760,2170926,220,116,5.0,46,1100,40.0,40.0,1,1026,525,1,1,0
6761,2171007,220,138,5.0,49,749,25.0,25.0,1,626,569,1,1,0
6762,2170983,220,116,5.0,75,1700,60.0,60.0,1,1350,642,1,1,0
6763,2170884,220,58,5.0,27,646,42.0,42.0,1,667,1167,1,1,0
6764,2241024,220,55,8.0,5,595,38.0,38.0,0,735,143,1,0,0
6765,2171023,220,140,6.0,10,701,50.0,75.0,0,1507,955,1,0,0
6766,2170942,220,116,7.0,206,805,24.0,24.0,0,816,221,1,0,0
6767,2171072,220,140,8.0,30,485,80.0,90.0,1,1627,1252,1,1,0
6768,1722081,221,85,8.0,177,8000,21.0,21.0,0,985,231,1,0,0
6769,2082808,221,85,8.0,16,1700,16.5,16.5,0,849,433,1,0,0
6770,1730951,221,85,8.0,53,2800,19.0,19.0,0,524,316,1,0,0
6771,1722255,221,85,8.0,99,4200,18.0,18.0,0,542,381,1,0,0
6772,1722073,221,91,7.0,106,5400,22.0,22.0,0,656,536,1,0,0
6773,2288967,221,91,8.0,51,3600,22.0,22.0,0,559,1348,0,0,0
6774,1730969,221,85,8.0,38,4100,14.5,14.5,0,538,298,1,0,0
6775,2154995,221,85,8.0,33,2800,16.0,16.0,0,548,118,1,0,0
6776,1730977,221,127,8.0,17,1600,16.0,16.0,0,538,257,1,0,0
6777,1826262,221,38,7.0,46,2000,16.0,16.0,0,629,373,1,0,0
6778,2010999,317,119,5.0,5,746,150.0,150.0,1,933,15,0,0,1
6779,2010981,317,119,8.0,7,434,150.0,150.0,1,962,15,0,0,1
6780,2010965,317,119,7.0,6,934,150.0,150.0,1,840,15,0,0,1
6781,2011039,317,119,6.0,4,564,150.0,150.0,1,973,15,0,0,1
6782,2011013,317,119,6.0,3,289,150.0,150.0,1,945,15,0,0,1
6783,2011005,317,119,5.0,2,596,150.0,150.0,1,894,15,0,0,1
6784,1825322,225,123,8.0,23,4700,45.0,45.0,1,1068,258,1,1,0
6785,2068963,225,33,7.0,15,2100,36.0,36.0,1,1417,105,1,1,0
6786,2068955,225,127,7.0,23,3400,34.0,34.0,1,1328,170,1,1,0
6787,1825314,225,33,6.0,68,3100,36.0,36.0,1,826,230,1,1,0
6788,1825306,225,127,6.0,143,3600,34.0,34.0,1,1078,144,1,1,0
6789,1825355,225,127,6.0,40,2300,34.0,34.0,1,1020,157,1,1,0
6790,1825330,225,123,8.0,18,2600,175.0,175.0,1,1439,421,1,1,0
6791,1938877,225,85,7.0,12,1800,32.0,32.0,1,907,89,1,1,0
6792,1825371,225,123,5.0,159,2800,58.0,58.0,1,983,264,1,1,0
6793,1825447,225,19,8.0,18,1800,30.0,30.0,1,1195,81,1,1,0
6794,1825397,225,41,7.0,10,1600,32.0,32.0,1,867,231,1,1,0
6795,1825363,225,33,7.0,18,1500,36.0,36.0,1,773,209,1,1,0
6796,1825579,225,140,6.0,9,2500,34.0,34.0,1,960,708,1,1,0
6797,1825389,225,85,5.0,6,835,37.0,37.0,1,860,159,1,1,0
6798,1931807,225,127,4.0,50,1500,38.0,38.0,1,1062,157,1,1,0
6799,1931815,225,33,3.0,19,1000,40.0,40.0,1,1148,166,1,1,0
6800,1825405,225,72,5.0,6,1200,9.0,9.0,1,1490,128,1,1,0
6801,1931856,225,77,5.0,53,408,42.0,42.0,1,817,213,1,1,0
6802,1891829,225,85,7.0,14,1600,34.0,34.0,0,893,351,1,0,0
6803,1825348,225,85,6.0,5,890,32.0,32.0,1,1021,250,1,1,0
6804,1931849,225,72,6.0,4,595,10.5,10.5,1,1239,104,1,1,0
6805,1931831,225,72,4.0,6,655,10.0,10.0,1,1183,177,1,1,0
6806,1931823,225,76,6.0,15,1200,62.0,62.0,1,1220,134,1,1,0
6807,2275816,225,78,8.0,4,732,32.0,32.0,1,1068,123,1,1,0
6808,1826635,225,85,6.0,7,1500,105.0,105.0,1,1328,133,1,1,0
6809,1528470,226,28,5.0,84,4300,70.0,70.0,0,422,752,1,0,0
6810,2320448,226,120,0.0,0,274,106.0,170.0,1,515,752,0,1,0
6811,2250892,226,119,8.0,490,2100,98.0,98.0,0,413,752,1,0,0
6812,2270478,226,120,7.0,2,1900,25.0,30.0,1,250,752,0,0,0
6813,1819556,226,28,8.0,613,1200,77.0,77.0,0,583,15,0,0,0
6814,873117,226,28,5.0,114,3100,70.0,70.0,0,174,752,1,0,0
6815,2320489,226,28,8.0,276,146,105.0,105.0,0,603,752,0,0,0
6816,463398,226,119,8.0,531,14400,82.0,82.0,0,333,752,0,0,0
6817,627760,226,28,8.0,173,2800,70.0,70.0,0,420,64,0,0,0
6818,150938,226,28,8.0,15,937,56.0,56.0,0,160,15,0,0,0
6819,2039683,226,119,7.0,6,1200,98.0,98.0,0,413,752,1,0,0
6820,150714,226,28,8.0,48,1000,72.0,72.0,0,272,752,1,0,0
6821,2320497,226,29,0.0,0,56,98.0,149.0,1,513,752,0,1,0
6822,1799832,226,119,8.0,20,2700,48.0,48.0,0,324,15,0,0,0
